         360
   gj         fig        sg         vg         ssv        ssv1       ttv        ttp        vg1        xp         yp         sg1        cp         t          f          d1         d2         xd1        yd1
   2.042035   0.547398   1.290652   1.800000   0.301054   0.250562   0.822633   0.019284   1.711371  -0.702172   0.230992   1.345522  -1.928791   0.192359  -0.005620   0.001822   0.001349  -0.702208   0.232814
   2.059489   0.536070   1.284358   1.800000   0.310914   0.260521   0.822677   0.027967   1.711541  -0.708790   0.230836   1.338903  -1.929374   0.191983  -0.005607   0.001790   0.001325  -0.708840   0.232625
   2.076942   0.524794   1.278094   1.800000   0.320949   0.270657   0.822444   0.036926   1.711714  -0.715374   0.230622   1.332315  -1.929966   0.191548  -0.005591   0.001757   0.001301  -0.715439   0.232378
   2.094395   0.513575   1.271861   1.800000   0.331162   0.280973   0.822510   0.045587   1.711890  -0.721922   0.230352   1.325761  -1.930567   0.191053  -0.005571   0.001724   0.001277  -0.722001   0.232075
   2.111848   0.502415   1.265661   1.800000   0.341558   0.291473   0.822294   0.054529   1.712068  -0.728433   0.230026   1.319242  -1.931176   0.190499  -0.005547   0.001692   0.001253  -0.728526   0.231715
   2.129302   0.491316   1.259495   1.800000   0.352140   0.302161   0.822353   0.063197   1.712248  -0.734904   0.229645   1.312760  -1.931794   0.189887  -0.005520   0.001659   0.001229  -0.735009   0.231301
   2.146755   0.480282   1.253365   1.800000   0.362912   0.313040   0.822124   0.072153   1.712431  -0.741333   0.229209   1.306316  -1.932421   0.189217  -0.005489   0.001627   0.001205  -0.741451   0.230831
   2.164208   0.469315   1.247272   1.800000   0.373879   0.324114   0.822146   0.080857   1.712617  -0.747718   0.228719   1.299913  -1.933056   0.188489  -0.005456   0.001595   0.001181  -0.747847   0.230309
   2.181662   0.458419   1.241219   1.800000   0.385044   0.335389   0.821873   0.089857   1.712804  -0.754057   0.228177   1.293551  -1.933699   0.187704  -0.005419   0.001562   0.001157  -0.754197   0.229733
   2.199115   0.447596   1.235206   1.800000   0.396412   0.346868   0.821832   0.098625   1.712994  -0.760348   0.227582   1.287232  -1.934349   0.186862  -0.005379   0.001530   0.001133  -0.760499   0.229105
   2.216568   0.436848   1.229235   1.800000   0.407988   0.358556   0.821487   0.107697   1.713186  -0.766588   0.226936   1.280958  -1.935007   0.185964  -0.005335   0.001498   0.001109  -0.766749   0.228425
   2.234021   0.426179   1.223308   1.800000   0.419776   0.370458   0.821353   0.116557   1.713381  -0.772777   0.226240   1.274731  -1.935673   0.185010  -0.005289   0.001465   0.001085  -0.772947   0.227695
   2.251475   0.415591   1.217425   1.800000   0.431783   0.382579   0.820905   0.125732   1.713577  -0.778910   0.225493   1.268552  -1.936346   0.183999  -0.005240   0.001433   0.001061  -0.779090   0.226915
   2.268928   0.405087   1.211590   1.800000   0.444012   0.394924   0.820649   0.134714   1.713775  -0.784988   0.224697   1.262422  -1.937026   0.182934  -0.005188   0.001401   0.001038  -0.785176   0.226086
   2.286381   0.394670   1.205803   1.800000   0.456470   0.407499   0.820069   0.144021   1.713976  -0.791007   0.223853   1.256344  -1.937713   0.181813  -0.005133   0.001369   0.001014  -0.791204   0.225208
   2.303835   0.384342   1.200065   1.800000   0.469162   0.420309   0.819662   0.153155   1.714178  -0.796967   0.222961   1.250318  -1.938407   0.180638  -0.005075   0.001338   0.000991  -0.797171   0.224283
